config,m,n,seed,algo,K_mult,cmax,lb,gap_pct,time_ms,assign_sha16
eval-m2-n30,2,30,3014,rol,4,613,613,0.000000,0.073,3189abe36987b91f
eval-m2-n30,2,30,3015,lpt,,719,718,0.139276,0.015,87fe301e140c3d7c
eval-m2-n30,2,30,3015,multifit,,718,718,0.000000,0.051,2f9bcbf8a9fa7d65
eval-m2-n30,2,30,3015,lpt_ls,,718,718,0.000000,0.073,15fcceac63d4b0f3
eval-m2-n30,2,30,3015,rol,4,718,718,0.000000,0.074,23f189bc3283ada1
eval-m2-n30,2,30,3016,lpt,,780,780,0.000000,0.015,6a7ce838420b197f
eval-m2-n30,2,30,3016,multifit,,781,780,0.128205,0.053,905ca485f8b3d812
eval-m2-n30,2,30,3016,lpt_ls,,780,780,0.000000,0.040,6a7ce838420b197f
eval-m2-n30,2,30,3016,rol,4,780,780,0.000000,0.074,6a7ce838420b197f
eval-m2-n30,2,30,3017,lpt,,804,802,0.249377,0.016,3b71ecbb9e011d0a
eval-m2-n30,2,30,3017,multifit,,803,802,0.124688,0.052,a2d3b7e42be98790
eval-m2-n30,2,30,3017,lpt_ls,,802,802,0.000000,0.062,1f0a3b16b478d42b
eval-m2-n30,2,30,3017,rol,4,804,802,0.249377,0.088,3b71ecbb9e011d0a
eval-m2-n30,2,30,3018,lpt,,746,746,0.000000,0.015,61651573ceae93c2
eval-m2-n30,2,30,3018,multifit,,747,746,0.134048,0.051,6d434784135f08b4
eval-m2-n30,2,30,3018,lpt_ls,,746,746,0.000000,0.053,61651573ceae93c2
eval-m2-n30,2,30,3018,rol,4,746,746,0.000000,0.075,61651573ceae93c2
eval-m2-n30,2,30,3019,lpt,,779,779,0.000000,0.014,97241ce83f594602
eval-m2-n30,2,30,3019,multifit,,779,779,0.000000,0.052,c8c49c22767ecd44
eval-m2-n30,2,30,3019,lpt_ls,,779,779,0.000000,0.039,97241ce83f594602
eval-m2-n30,2,30,3019,rol,4,779,779,0.000000,0.074,97241ce83f594602
eval-m2-n30,2,30,3020,lpt,,541,540,0.185185,0.014,391f7f39774d595c
eval-m2-n30,2,30,3020,multifit,,541,540,0.185185,0.055,58830ca3fe87a532
eval-m2-n30,2,30,3020,lpt_ls,,541,540,0.185185,0.038,391f7f39774d595c
eval-m2-n30,2,30,3020,rol,4,540,540,0.000000,0.072,707b8d8274280ceb
eval-m2-n30,2,30,3021,lpt,,737,737,0.000000,0.019,60055f0235295239
eval-m2-n30,2,30,3021,multifit,,737,737,0.000000,0.052,916d817a6f08254c
eval-m2-n30,2,30,3021,lpt_ls,,737,737,0.000000,0.040,60055f0235295239
eval-m2-n30,2,30,3021,rol,4,737,737,0.000000,0.077,60055f0235295239
eval-m2-n30,2,30,3022,lpt,,805,804,0.124378,0.015,3f02fc5de71c5fa0
eval-m2-n30,2,30,3022,multifit,,804,804,0.000000,0.052,70c5e000441bd52c
eval-m2-n30,2,30,3022,lpt_ls,,804,804,0.000000,0.066,c702a208117c8c4c
eval-m2-n30,2,30,3022,rol,4,805,804,0.124378,0.076,3f02fc5de71c5fa0
eval-m2-n30,2,30,3023,lpt,,678,678,0.000000,0.015,b758a76b389b85dd
eval-m2-n30,2,30,3023,multifit,,678,678,0.000000,0.053,db0baa611189744e
eval-m2-n30,2,30,3023,lpt_ls,,678,678,0.000000,0.054,b758a76b389b85dd
eval-m2-n30,2,30,3023,rol,4,678,678,0.000000,0.086,b758a76b389b85dd
eval-m2-n30,2,30,3024,lpt,,702,701,0.142653,0.016,7e31a83c961f322c
eval-m2-n30,2,30,3024,multifit,,701,701,0.000000,0.052,0f4cb903554c4709
eval-m2-n30,2,30,3024,lpt_ls,,701,701,0.000000,0.073,1ca9901b571e769a
eval-m2-n30,2,30,3024,rol,4,702,701,0.142653,0.080,7e31a83c961f322c
eval-m2-n30,2,30,3025,lpt,,663,663,0.000000,0.015,081ca77e36c358ef
eval-m2-n30,2,30,3025,multifit,,663,663,0.000000,0.051,e9a372fc9d3043a7
eval-m2-n30,2,30,3025,lpt_ls,,663,663,0.000000,0.037,081ca77e36c358ef
eval-m2-n30,2,30,3025,rol,4,663,663,0.000000,0.079,081ca77e36c358ef
eval-m2-n30,2,30,3026,lpt,,649,648,0.154321,0.015,1e86534e0c0d8f9d
eval-m2-n30,2,30,3026,multifit,,648,648,0.000000,0.051,da22fadb8a7f494f
eval-m2-n30,2,30,3026,lpt_ls,,648,648,0.000000,0.072,47762453c8519b60
eval-m2-n30,2,30,3026,rol,4,649,648,0.154321,0.073,1e86534e0c0d8f9d
eval-m2-n30,2,30,3027,lpt,,833,833,0.000000,0.015,5958053ead1c9279
eval-m2-n30,2,30,3027,multifit,,835,833,0.240096,0.053,e8a82137f85b7589
